amount_loan,status,type_card,date_card,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,no. of enterpreneurs per 1000 inhabitants,frequency,date_account,sex,age,n_credits,n_withdrawals,total_transfer_amount,min_amount,max_amount,cov_transfers,mean_transfers,std_transfers,min_balance,max_balance,mean_balance,n_members,loan_year
96396,-1,0,0.0,94812,15,13,8,2,10,81.8,9650,3.38,100,weekly issuance,1993/03/22,female,74,4,0,20100.0,1100.0,9900.0,9218333.333333332,5025.0,3774.8068383251966,1100.0,20100.0,12250.0,1,1993
165960,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,monthly issuance,1993/02/13,male,53,17,20,407578.5,2.9,54300.0,161981751.79118615,11015.635135135135,14040.410909609293,700.0,120512.8,52083.85945945945,1,1993
127080,1,0,0.0,77917,85,19,6,1,5,53.5,8390,2.28,132,monthly issuance,1993/02/08,male,85,15,9,130019.0,48.6,19065.0,21904028.601920288,5417.458333333334,6209.075791824673,800.0,49590.4,30060.95416666668,1,1993
105804,1,0,0.0,177686,69,27,10,1,9,74.8,10045,1.42,135,monthly issuance,1993/01/30,female,81,13,12,206327.00000000003,14.6,26448.0,33274199.20625,8253.080000000002,7773.338885736297,1000.0,65898.5,41297.479999999996,1,1993
274740,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,weekly issuance,1993/02/14,male,43,13,14,511541.1,30.0,63366.0,378651171.10692304,18945.966666666667,19355.220501853873,600.0,122893.1,57188.21111111113,1,1993
87840,1,0,0.0,53921,61,22,1,1,2,41.3,8598,2.77,123,monthly issuance,1993/05/12,male,36,14,3,161447.8,51.3,32938.0,27986443.12147059,9496.929411764706,11685.30667279237,500.0,65847.8,46318.55294117648,2,1993
52788,1,0,0.0,58796,22,16,7,1,5,51.9,9045,3.13,124,monthly issuance,1993/01/14,male,48,21,22,159740.6,14.6,17920.0,8971549.327331118,3714.8976744186057,3862.2346355746645,1000.0,41469.1,22198.179069767448,1,1993
174744,-1,0,0.0,122603,25,21,6,2,8,80.0,8991,1.39,128,monthly issuance,1993/04/14,female,73,16,16,369854.4,14.6,52600.0,195206345.05225804,11557.949999999999,14867.801037205725,1000.0,105628.0,37485.456249999996,1,1993
154416,1,0,0.0,70699,60,13,2,1,4,65.3,8968,2.83,131,weekly issuance,1993/04/20,female,52,16,16,311684.80000000005,13.6,39098.0,55733451.1819355,9740.15,10535.16265560243,8897.0,81723.5,46715.8,1,1993
117024,1,0,0.0,177686,69,27,10,1,9,74.8,10045,1.42,135,monthly issuance,1993/06/20,male,86,9,4,183593.5,45.1,29255.0,154217122.06756407,14122.576923076924,13516.669823416432,800.0,76985.2,44131.16923076923,1,1993
21924,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/01/17,female,62,21,24,268089.5,14.6,21739.5,32554343.583030302,5957.544444444446,6350.493803475429,1100.0,60432.4,34272.21333333335,2,1993
79608,1,0,0.0,105606,77,26,7,2,7,53.0,8254,2.79,97,monthly issuance,1993/01/13,male,51,22,31,932818.9999999999,14.6,67124.0,135679710.89630267,17600.358490566032,19189.332711565738,800.0,125825.7,69954.57169811318,1,1993
464520,-1,0,0.0,148545,8,35,12,3,4,53.5,8909,4.01,113,weekly issuance,1993/03/19,female,81,31,37,906834.3,30.0,47757.0,149271423.63420323,13335.798529411764,12806.204786632223,200.0,125943.1,51760.01617647063,1,1993
95400,1,0,0.0,95616,65,30,4,1,6,51.4,9307,3.85,118,weekly issuance,1993/03/15,male,50,22,25,487423.00000000006,23.6,35760.0,117922075.4079926,10370.702127659575,12370.934495921747,200.0,92354.8,41562.32340425532,1,1993
93888,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,issuance after transaction,1993/07/05,female,71,12,7,135316.40000000002,48.0,15649.0,7248716.313421056,7121.915789473684,6970.297899122721,600.0,52378.2,37510.49473684211,1,1993
47016,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,issuance after transaction,1993/04/14,female,64,22,20,514593.4,32.8,51800.0,73371006.85937284,12252.22380952381,13682.969654349828,200.0,112901.6,60382.085714285706,1,1993
259740,1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1993/07/11,male,42,10,7,221647.5,75.3,38960.0,126340586.01066177,13038.088235294117,12382.578149404222,800.0,79633.5,45198.15294117648,1,1993
38148,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/06/28,female,56,18,11,242717.1,9.9,32706.0,74637229.15539409,8369.555172413793,9759.339780933156,900.0,62324.6,37462.093103448286,1,1993
86616,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/08/18,male,60,12,3,79853.2,29.8,17859.0,38852783.765523806,5323.546666666666,6131.066304470171,800.0,48353.1,25714.046666666665,1,1993
75624,-1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/06/10,male,63,15,8,308355.0,50.5,49887.0,159754665.846917,13406.739130434782,16670.612597942283,400.0,89754.8,50009.90869565218,1,1993
80952,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/26,female,81,22,32,429529.89999999997,13.5,30354.0,57107000.4857617,7954.2574074074055,8793.27113234998,1100.0,67529.6,32590.62407407406,2,1994
