amount_loan,status,type_card,date_card,no. of inhabitants,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999,no. of municipalities with inhabitants >10000,no. of cities,ratio of urban inhabitants,average salary,unemploymant rate '95,no. of enterpreneurs per 1000 inhabitants,frequency,date_account,sex,age,n_credits,n_withdrawals,total_credit,mean_credit,std_credit,min_credit,min_balance,max_balance,mean_balance,n_members,loan_year
96396,-1,0,0.0,94812,15,13,8,2,10,81.8,9650,3.38,100,weekly issuance,1993/03/22,female,74,4,0,20100.0,5025.0,3774.8068383251966,1100.0,1100.0,20100.0,12250.0,1,1993
165960,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,monthly issuance,1993/02/13,male,53,17,20,229893.69999999998,13523.158823529411,13998.092225373912,2.9,700.0,120512.8,52083.85945945945,1,1993
127080,1,0,0.0,77917,85,19,6,1,5,53.5,8390,2.28,132,monthly issuance,1993/02/08,male,85,15,9,75146.0,5009.733333333334,6801.234716228965,48.6,800.0,49590.4,30060.95416666668,1,1993
105804,1,0,0.0,177686,69,27,10,1,9,74.8,10045,1.42,135,monthly issuance,1993/01/30,female,81,13,12,120309.80000000002,9254.600000000002,9818.59121827906,132.8,1000.0,65898.5,41297.479999999996,1,1993
274740,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,weekly issuance,1993/02/14,male,43,13,14,276327.1,21255.930769230767,24264.229779532965,77.1,600.0,122893.1,57188.21111111113,1,1993
87840,1,0,0.0,53921,61,22,1,1,2,41.3,8598,2.77,123,monthly issuance,1993/05/12,male,36,14,3,102647.8,7331.9857142857145,11713.859081897366,51.3,500.0,65847.8,46318.55294117648,2,1993
52788,1,0,0.0,58796,22,16,7,1,5,51.9,9045,3.13,124,monthly issuance,1993/01/14,male,48,21,22,90384.8,4304.038095238095,3880.5602012436543,43.9,1000.0,41469.1,22198.179069767448,1,1993
174744,-1,0,0.0,122603,25,21,6,2,8,80.0,8991,1.39,128,monthly issuance,1993/04/14,female,73,16,16,213997.59999999998,13374.849999999999,16348.357234046483,77.8,1000.0,105628.0,37485.456249999996,1,1993
154416,1,0,0.0,70699,60,13,2,1,4,65.3,8968,2.83,131,weekly issuance,1993/04/20,female,52,16,16,182543.8,11408.9875,13212.035232815822,13.6,8897.0,81723.5,46715.8,1,1993
117024,1,0,0.0,177686,69,27,10,1,9,74.8,10045,1.42,135,monthly issuance,1993/06/20,male,86,9,4,118393.5,13154.833333333336,15275.43339589748,45.1,800.0,76985.2,44131.16923076923,1,1993
21924,1,0,0.0,157042,49,70,18,0,9,33.9,8743,1.88,111,monthly issuance,1993/01/17,female,62,21,24,158586.5,7551.738095238096,7695.526818254628,38.3,1100.0,60432.4,34272.21333333335,2,1993
79608,1,0,0.0,105606,77,26,7,2,7,53.0,8254,2.79,97,monthly issuance,1993/01/13,male,51,22,31,518282.4,23558.290909090912,24223.19832425322,110.2,800.0,125825.7,69954.57169811318,1,1993
464520,-1,0,0.0,148545,8,35,12,3,4,53.5,8909,4.01,113,weekly issuance,1993/03/19,female,81,31,37,497102.3,16035.55806451613,15297.898328632687,42.4,200.0,125943.1,51760.01617647063,1,1993
95400,1,0,0.0,95616,65,30,4,1,6,51.4,9307,3.85,118,weekly issuance,1993/03/15,male,50,22,25,257545.0,11706.590909090908,13022.733787675894,23.6,200.0,92354.8,41562.32340425532,1,1993
93888,1,0,0.0,86513,38,36,5,1,5,50.5,8288,3.79,110,issuance after transaction,1993/07/05,female,71,12,7,85016.4,7084.7,7697.681274844452,48.0,600.0,52378.2,37510.49473684211,1,1993
47016,1,0,0.0,112709,48,20,7,3,10,73.5,8369,1.79,117,issuance after transaction,1993/04/14,female,64,22,20,286683.4,13031.063636363637,14937.019272760052,32.8,200.0,112901.6,60382.085714285706,1,1993
259740,1,0,0.0,228848,15,40,18,2,6,57.2,9893,4.09,96,monthly issuance,1993/07/11,male,42,10,7,144433.5,14443.35,15387.514924354167,75.3,800.0,79633.5,45198.15294117648,1,1993
38148,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/06/28,female,56,18,11,145221.5,8067.861111111111,11579.10396843936,9.9,900.0,62324.6,37462.093103448286,1,1993
86616,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/08/18,male,60,12,3,58553.2,4879.433333333333,6561.633923779729,29.8,800.0,48353.1,25714.046666666665,1,1993
75624,-1,0,0.0,387570,0,0,0,1,1,100.0,9897,1.6,140,monthly issuance,1993/06/10,male,63,15,8,175155.0,11677.0,19366.42021305361,50.5,400.0,89754.8,50009.90869565218,1,1993
80952,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/26,female,81,22,32,228685.3,10394.786363636362,11457.26961321087,13.5,1100.0,67529.6,32590.62407407406,2,1994
80952,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/26,female,81,22,32,228693.9,10395.177272727273,11456.902704563734,13.5,1100.0,67529.6,33312.53888888891,2,1994
24516,1,0,0.0,1204953,0,0,0,1,1,100.0,12541,0.29,167,monthly issuance,1993/02/27,male,63,31,42,630685.0,20344.677419354834,19408.834213706392,12.5,200.0,125254.2,55582.22602739725,1,1994
253200,1,0,0.0,139012,59,41,8,3,10,61.9,8363,2.52,108,weekly issuance,1993/05/10,female,71,21,20,284778.7,13560.890476190476,16298.788997987082,69.5,800.0,104417.9,47302.546341463436,1,1994
21072,1,0,0.0,74062,99,15,4,2,7,61.4,8114,2.38,119,monthly issuance,1993/09/08,female,57,13,2,39167.1,3012.853846153846,3766.1760094768506,48.5,1100.0,33467.0,21575.68666666666,1,1994
108144,1,0,0.0,108871,41,29,7,2,6,62.1,8444,3.24,106,monthly issuance,1993/05/20,male,64,23,32,386925.00000000006,16822.826086956524,17851.048345741932,35.7,900.0,123863.4,54652.89818181817,2,1994
78936,1,0,0.0,51313,34,12,3,1,4,59.2,8930,3.52,108,monthly issuance,1993/05/09,female,64,24,27,95405.0,3975.208333333334,4054.8399573753254,24.0,900.0,40560.3,25900.319607843132,1,1994
149040,1,0,0.0,75637,35,36,9,0,7,36.5,9622,0.45,154,monthly issuance,1993/04/21,female,53,20,34,189931.60000000003,9496.58,10743.711547426978,31.1,200.0,62441.6,36845.58888888889,1,1994
49320,-1,0,0.0,122603,25,21,6,2,8,80.0,8991,1.39,128,issuance after transaction,1993/09/03,female,76,17,32,266271.60000000003,15663.03529411765,16806.344967933284,166.4,900.0,126833.0,46576.27755102041,1,1994
197748,1,0,0.0,53921,61,22,1,1,2,41.3,8598,2.77,123,monthly issuance,1993/09/13,male,53,11,5,135994.6,12363.145454545454,14026.726463531228,68.3,300.0,74413.6,44735.43125,2,1994
