amount,duration,payments,status,loan_year,owner_age_at_loan,owner_age_at_account_creation,has_disponent,has_junior_card,has_classic_card,has_gold_card,min_balance,max_balance,mean_balance,std_balance,recent_balance,total_credit,min_credit,max_credit,mean_credit,std_credit,total_withdrawal,min_withdrawal,max_withdrawal,mean_withdrawal,std_withdrawal,total_credit_times,total_withdrawal_times,interest_credit,payment_for_statement,household,old-age_pension,insurrance_payment,sanction_interest_if_negative_balance,credit_in_cash,collection_from_another_bank,withdrawal_in_cash,remittance_to_another_bank,credit_card_withdrawal,months_until_bankrupt,months_until_bankrupt_loan_duration_diff,sex,frequency,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate 1995 ,unemploymant rate 1996 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes 1995 ,no. of commited crimes 1996 
96396,12,8033,-1,1993,45,45,0,0,0,0,1100.0,20100.0,12250.0,7214.741852623696,20100.0,20100.0,1100.0,9900.0,5025.0,3269.0786163688385,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,-10,female,weekly issuance,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
165960,36,4610,1,1993,24,24,0,0,0,0,700.0,120512.8,52083.85945945945,28725.822494850407,52208.9,229893.69999999998,2.9,36574.0,13523.158823529411,13580.14418878918,164002.80000000002,14.6,54300.0,9111.266666666668,14437.365994760494,17,18,5,3,2,0,3,0,12,0,12,8,0,11,-25,male,monthly issuance,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
127080,60,2118,1,1993,57,56,0,0,0,0,800.0,49590.4,30060.95416666668,11277.627086920782,20272.8,75146.0,48.6,19065.0,5009.733333333334,6570.616974142451,54873.0,66.0,14800.0,6097.0,5082.274337778751,15,9,8,0,1,0,1,0,2,5,6,3,0,9,-51,male,monthly issuance,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
105804,36,2939,1,1993,53,52,0,0,0,0,1000.0,65898.5,41297.479999999996,13865.346921069087,34300.0,120309.80000000002,132.8,26448.0,9254.600000000002,9433.397308499203,86017.20000000001,14.6,15600.0,7168.100000000001,4709.676271606503,13,12,5,2,2,0,0,0,2,6,10,2,0,11,-25,female,monthly issuance,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
274740,60,4579,1,1993,15,14,0,0,0,0,600.0,122893.1,57188.21111111113,24784.5369748863,41127.9,276327.1,77.1,63366.0,21255.930769230767,23312.317908594185,235214.0,30.0,36700.0,16801.0,13473.319995987837,13,14,6,2,1,0,0,0,1,6,11,3,0,8,-52,male,weekly issuance,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
87840,24,3660,1,1993,13,13,1,0,0,0,500.0,65847.8,46318.55294117647,20053.793677979287,43847.8,205295.6,51.3,32938.0,7331.9857142857145,11287.757051897115,117600.0,15200.0,22000.0,19600.0,3115.552385479446,28,6,16,0,0,0,0,0,4,8,6,0,0,11,-13,female,monthly issuance,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
52788,12,4399,1,1993,20,19,0,0,0,0,1000.0,41469.1,22198.179069767448,6574.831590010787,21029.0,90384.79999999999,43.9,11427.0,4304.038095238095,3787.0389834748566,69355.79999999999,14.6,17920.0,3152.536363636363,3760.3596174187983,21,22,7,3,4,0,0,0,14,0,14,8,0,4,-8,male,monthly issuance,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
174744,24,7281,-1,1993,45,44,0,0,0,0,1000.0,105628.0,37485.456249999996,27856.91421291285,58140.9,213997.59999999998,77.8,47436.0,13374.849999999999,15829.228826327895,143643.80000000002,14.6,52600.0,10260.27142857143,13868.917617794968,16,14,5,3,4,0,0,0,11,0,16,0,0,7,-17,female,monthly issuance,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273
154416,48,3217,1,1993,24,23,0,0,0,0,8897.0,81723.5,46715.8,19967.46581839443,53402.7,182543.8,13.6,39098.0,11408.9875,12792.498106550329,102020.0,30.0,19200.0,7287.142857142857,6879.780341771124,16,14,6,4,0,0,0,0,10,0,16,0,0,16,-32,female,weekly issuance,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
117024,24,4876,1,1993,58,57,0,0,0,0,800.0,76985.2,44131.16923076923,19065.736382534087,53193.5,118393.50000000001,45.1,29255.0,13154.833333333336,14401.816719736746,65200.0,2100.0,24000.0,16300.0,8635.681791265817,9,4,4,0,0,0,0,0,1,4,4,0,0,10,-14,male,monthly issuance,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
21924,36,609,1,1993,33,32,1,0,0,0,1100.0,60432.4,34272.213333333326,10057.38546512186,49083.3,317173.0,38.3,21739.5,7551.738095238095,7510.065183312084,219006.00000000006,14.6,17200.0,4562.625000000001,4518.358664128859,42,48,18,10,10,0,0,0,24,0,38,10,0,80,44,male,monthly issuance,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894
79608,24,3317,1,1993,23,22,0,0,0,0,800.0,125825.7,69954.57169811318,24634.490802266137,103745.7,518282.4000000001,110.2,67124.0,23558.290909090912,23666.268744371733,360787.6,14.6,51700.0,12885.271428571428,13794.88145873723,22,28,10,6,0,0,0,0,1,11,31,0,0,31,7,male,monthly issuance,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325
464520,60,7742,-1,1993,53,52,0,0,0,0,200.0,125943.1,51760.01617647063,27643.15853546668,108084.55,497102.30000000005,42.4,47757.0,16035.55806451613,15049.135435670205,289510.0,30.0,41000.0,10339.642857142857,10426.316800064447,31,28,9,7,0,0,0,0,22,0,37,0,0,13,-47,female,weekly issuance,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
95400,36,2650,1,1993,22,22,0,0,0,0,200.0,92354.8,41562.32340425532,23324.578411352362,27682.0,257544.99999999997,23.6,35760.0,11706.590909090908,12723.320573937846,204080.0,30.0,33500.0,8873.04347826087,12041.819678604335,22,23,9,6,0,0,0,0,13,0,25,0,0,10,-26,male,weekly issuance,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
93888,36,2608,1,1993,43,42,0,0,0,0,600.0,52378.2,37510.49473684211,14209.49252571651,34716.3,85016.4,48.0,15649.0,7084.7,7369.9687194044445,50300.0,100.0,15500.0,7185.714285714285,5640.270654961913,12,7,5,1,0,0,0,0,2,5,7,0,0,13,-23,female,issuance after transaction,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
47016,12,3918,1,1993,35,35,0,0,0,0,200.0,112901.6,60382.085714285706,23602.223555475724,58773.2,286683.4,32.8,47705.0,13031.063636363637,14593.59361290692,222424.0,100.0,51800.0,11706.526315789473,12409.630883727368,22,19,8,4,4,0,0,0,14,0,16,4,0,15,3,female,issuance after transaction,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
259740,60,4329,1,1993,14,14,0,0,0,0,800.0,79633.5,45198.15294117648,18905.399410816248,67219.5,144433.5,75.3,38960.0,14443.35,14597.878407237813,77214.0,1300.0,21500.0,11030.57142857143,6259.996048769699,10,7,4,0,1,0,0,0,1,5,6,1,0,15,-45,male,monthly issuance,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
38148,12,3179,1,1993,28,28,0,0,0,0,900.0,62324.6,37462.093103448286,13062.22404954999,52283.3,145221.5,9.9,32706.0,8067.861111111111,11252.866370897036,89462.6,14.6,20600.0,8946.26,6184.56492636305,18,10,10,1,1,0,2,0,2,6,7,4,0,16,4,female,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
86616,12,7218,1,1993,32,31,0,0,0,0,800.0,48353.1,25714.046666666665,11318.707345150133,37253.1,58553.2,29.8,17859.0,4879.433333333333,6282.286189800298,21300.0,2200.0,11100.0,7100.0,3688.7215490826447,12,3,6,0,0,0,0,0,6,0,3,0,0,5,-7,male,monthly issuance,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529
75624,24,3151,-1,1993,35,34,0,0,0,0,400.0,89754.8,50009.90869565218,20233.67201091146,41954.8,175155.0,50.5,49887.0,11677.0,18709.73943549188,133200.0,3200.0,31100.0,16650.0,9579.665964948883,15,8,9,0,1,0,0,0,6,0,8,0,0,13,-11,male,monthly issuance,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
80952,24,3373,1,1994,48,48,1,0,0,0,1100.0,67529.6,32590.624074074043,11949.501329808165,27847.899999999998,457370.5999999999,13.5,30354.0,10394.786363636362,11193.848892839458,306035.19999999995,14.6,22400.0,5276.468965517241,5146.550372561482,44,58,20,12,10,0,0,0,4,20,54,10,0,8,-16,male,monthly issuance,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
